u_g,g_r,r_i,i_z
1.497206000000002035e+00,5.593959999999995603e-01,2.345319999999979643e-01,1.029640000000000555e-01
9.832399999999985596e-01,3.056190000000000850e-01,9.251199999999926149e-02,-3.125799999999756551e-02
1.004477000000004949e+00,3.567879999999981067e-01,-6.707499999999910756e-02,-4.622499999999973852e-02
1.127264000000000266e+00,5.285330000000030282e-01,2.234189999999998122e-01,1.179649999999980992e-01
1.803168999999996913e+00,7.752550000000013597e-01,2.740829999999974120e-01,1.527840000000040277e-01
8.253079999999961558e-01,2.556760000000011246e-01,9.950500000000417344e-02,1.924999999999954525e-02
1.656310000000011939e-01,5.167899999999647775e-02,2.950020000000002085e-01,3.432300000000054752e-02
1.190001000000002307e+00,4.875030000000002417e-01,9.146099999999890429e-02,-1.894000000000062300e-03
1.533070000000016364e-01,3.405909999999998661e-01,1.475350000000013040e-01,1.446879999999950428e-01
1.160076000000000107e+00,4.071490000000004272e-01,1.737039999999971940e-01,1.657300000000105911e-02
1.729038000000002739e+00,6.286130000000014206e-01,2.339739999999963516e-01,1.287769999999994752e-01
1.028237999999998209e+00,3.606070000000016762e-01,1.561999999999983402e-01,-3.215399999999846159e-02
1.655721999999997252e+00,7.176030000000039877e-01,2.893319999999981462e-01,1.130919999999981940e-01
-1.164000000000342538e-02,7.628400000000112868e-02,3.872070000000000789e-01,2.281839999999988322e-01
1.175443000000001348e+00,4.444720000000010884e-01,1.607799999999990348e-01,8.359699999999747888e-02
-1.100959999999986394e-01,8.959600000000023101e-02,1.047939999999982774e-01,1.948520000000009134e-01
2.536223999999997147e+00,1.449254999999997295e+00,1.161401000000003236e+00,6.047559999999982949e-01
2.390409999999999258e+00,1.223043000000000546e+00,6.017670000000006070e-01,3.913899999999994606e-01
9.609549999999984493e-01,3.110619999999997276e-01,1.507800000000010243e-01,-5.963200000000057344e-02
1.209089000000000524e+00,3.915349999999993003e-01,9.681900000000176476e-02,4.517899999999741567e-02
1.328832999999999487e+00,6.360929999999989093e-01,1.546840000000031523e-01,1.387000000000000455e-01
9.569449999999974921e-01,3.713610000000002742e-01,5.499299999999962552e-02,-2.702499999999830038e-02
2.017684999999996620e+00,8.388640000000044950e-01,2.841379999999986694e-01,1.916189999999993177e-01
2.176531999999998135e+00,8.984889999999978727e-01,3.326690000000027680e-01,1.318869999999989773e-01
1.279325999999997521e+00,4.173930000000005691e-01,1.600409999999996558e-01,2.276999999999773650e-02
1.243281999999997112e+00,5.937559999999990623e-01,2.527450000000008856e-01,6.570800000000076579e-02
4.124230000000004281e-01,2.816019999999994639e-01,1.457219999999992410e-01,1.807900000000017826e-01
2.570596999999999355e+00,1.334315999999997615e+00,5.935730000000027928e-01,3.414910000000013213e-01
9.372550000000003934e-01,2.825260000000007210e-01,9.241699999999752890e-02,1.271300000000152863e-02
1.273043999999998732e+00,4.505889999999972417e-01,1.307540000000031455e-01,6.215499999999707370e-02
9.113240000000004670e-01,2.718009999999999593e-01,8.986300000000113641e-02,-4.485700000000036880e-02
2.760220000000010998e-01,1.926820000000013522e-01,-5.262000000000099931e-02,5.855000000000032401e-02
-1.807440000000006819e-01,4.302010000000002776e-01,-2.587300000000070099e-02,1.252500000000011937e-02
8.994159999999986610e-01,-2.321809999999970842e-01,6.300479999999986092e-01,-2.476100000000158730e-02
1.093087999999998061e+00,3.935689999999993915e-01,1.131850000000014234e-01,1.942000000000199122e-02
2.578867000000002463e+00,1.253350999999998550e+00,4.940020000000018285e-01,2.866699999999973159e-01
1.014894000000001739e+00,2.504689999999953898e-01,5.973500000000342425e-02,-3.537800000000146383e-02
1.949513999999997083e+00,7.488390000000038071e-01,2.967679999999965901e-01,1.755500000000012051e-01
1.775080000000002656e+00,7.547619999999994889e-01,2.620469999999990307e-01,1.074489999999990175e-01
1.773593999999999227e+00,7.268329999999991742e-01,2.995359999999962497e-01,2.050630000000026598e-01
1.005892000000002895e+00,2.793769999999966558e-01,1.281530000000010716e-01,-8.904700000000076443e-02
9.224479999999992685e-01,2.386470000000002756e-01,6.247699999999767329e-02,-1.225099999999557099e-02
1.209319999999998174e+00,5.352490000000003079e-01,2.315830000000005384e-01,3.300899999999984402e-02
1.352972000000001174e+00,5.255119999999990910e-01,1.366309999999977265e-01,1.552779999999991389e-01
1.163637000000001365e+00,3.818009999999993909e-01,9.949299999999894339e-02,4.933299999999896102e-02
1.261580999999999619e+00,4.969119999999982440e-01,1.802100000000024238e-01,8.674699999999901934e-02
1.579938999999999538e+00,7.086469999999991387e-01,1.306000000000011596e-01,1.920450000000002433e-01
1.180374000000000478e+00,4.642279999999985307e-01,1.940190000000008297e-01,5.606500000000025352e-02
1.825635999999999370e+00,7.997739999999993188e-01,8.193400000000039540e-02,1.317389999999996064e-01
2.147964999999999236e+00,1.037883999999998252e+00,4.334199999999981401e-01,1.625380000000014036e-01
2.202880999999997869e+00,1.024070999999999287e+00,3.173160000000017078e-01,1.587180000000003588e-01
1.423082000000000846e+00,5.171530000000004179e-01,1.837389999999992085e-01,7.425999999999888246e-02
1.233620000000001937e+00,3.156429999999978975e-01,1.006549999999997169e-01,3.032500000000126761e-02
2.109428000000001191e+00,8.644479999999976627e-01,3.075860000000005812e-01,1.507639999999987879e-01
8.639999999999972147e-01,4.180300000000052307e-01,1.555859999999960053e-01,2.383000000001800345e-03
2.553770000000000095e+00,1.252331000000001637e+00,5.434739999999997906e-01,3.022899999999992815e-01
9.403430000000021494e-01,2.519099999999987460e-01,1.230940000000018131e-01,8.603999999998279691e-03
1.321390000000000953e+00,5.433500000000002217e-01,1.377850000000009345e-01,7.698699999999902843e-02
1.160208000000000794e+00,4.017239999999979716e-01,1.275360000000027583e-01,3.530299999999897409e-02
1.805996000000000379e+00,6.392389999999998906e-01,2.881409999999995364e-01,9.554100000000076420e-02
2.084312000000000609e+00,8.973049999999993531e-01,3.406239999999982615e-01,2.055790000000001783e-01
1.660807999999999396e+00,6.152410000000010371e-01,2.004500000000000171e-01,6.663499999999977774e-02
1.320386000000002724e+00,5.249369999999977665e-01,1.604630000000000223e-01,8.240499999999784109e-02
1.162665999999997979e+00,5.148410000000005482e-01,2.096519999999983952e-01,8.629400000000231330e-02
1.434169999999994616e-01,1.898000000000621412e-03,9.960900000000094678e-02,2.734780000000007760e-01
1.069296000000001357e+00,2.585959999999971615e-01,7.307700000000139084e-02,-1.067800000000218574e-02
1.803658999999999679e+00,7.579610000000016612e-01,1.752799999999972158e-01,1.222000000000029729e-01
2.555566999999999922e+00,1.373024000000000910e+00,7.249009999999991294e-01,3.398509999999994591e-01
8.754139999999992483e-01,1.915680000000001826e-01,8.750200000000063483e-02,-3.005600000000185901e-02
2.162503999999998427e+00,8.885249999999995651e-01,3.166189999999993177e-01,1.473840000000006256e-01
1.240534000000000248e+00,3.384609999999987906e-01,2.662219999999990705e-01,1.203839999999978261e-01
2.124489000000000516e+00,8.998319999999999652e-01,2.872810000000001196e-01,1.786039999999999850e-01
5.585899999999988097e-01,1.830920000000020309e-01,-8.330999999998311978e-03,1.694699999999826900e-02
8.213900000000009527e-01,2.660310000000016828e-01,4.732899999999773399e-02,1.031150000000025102e-01
1.348931000000000324e+00,3.025109999999990862e-01,2.374690000000008183e-01,-7.255400000000022942e-02
1.329546000000004113e+00,5.219090000000008445e-01,1.900510000000004140e-01,1.054799999999964655e-01
9.635299999999986653e-01,1.989040000000024122e-01,9.079899999999696547e-02,9.291000000001048420e-03
8.770910000000000650e-01,3.141079999999973893e-01,1.486659999999986326e-01,-2.760100000000065279e-02
1.645554000000000627e+00,6.514509999999980039e-01,8.186699999999902388e-02,2.636010000000013065e-01
1.112557999999999936e+00,3.904530000000008272e-01,1.644290000000001584e-01,-2.144000000000012562e-02
1.528337000000000501e+00,5.391450000000013176e-01,2.314379999999971460e-01,7.934900000000055797e-02
1.538804999999999978e+00,5.656619999999996651e-01,2.026330000000022835e-01,9.253500000000158821e-02
1.117432999999998344e+00,3.873830000000033635e-01,1.369039999999976942e-01,1.008159999999982404e-01
8.729250000000021714e-01,2.735369999999974766e-01,1.278669999999983986e-01,-2.843700000000026762e-02
1.071132999999996116e+00,3.450140000000025964e-01,1.527009999999968670e-01,-1.779999999999759552e-02
1.446887999999997731e+00,5.352700000000041314e-01,1.806719999999977233e-01,1.535660000000014236e-01
2.144635999999998432e+00,7.666600000000016735e-01,3.230040000000009570e-01,1.585260000000019431e-01
1.961961999999999762e+00,7.483229999999991833e-01,2.428009999999982682e-01,1.387369999999990000e-01
1.472837999999999425e+00,5.771690000000013754e-01,1.813409999999997524e-01,7.364699999999757551e-02
1.015316000000002106e+00,2.942789999999995132e-01,1.066229999999990241e-01,6.573500000000009891e-02
2.738154999999995454e+00,1.359501000000001625e+00,7.567840000000014555e-01,3.879260000000002151e-01
